"rxn"	"flux"	"slack"
"RXN-EX_ile__L_e_REV-SPONT"	0.000253000000000	0.000000000000000
"RXN-EX_4abz_e_REV-SPONT"	0.000000854411965	0.000000000000000
"RXN-EX_pydxn_e_REV-SPONT"	0.000000060916519	0.000000000000000
"RXN-EX_tyr__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_nh4_e_REV-SPONT"	0.053685768450977	0.000000000000000
"RXN-EX_leu__L_e_REV-SPONT"	0.000709000000000	0.000000000000000
"RXN-EX_sucr_e_REV-SPONT"	0.332925000000000	0.000000000000000
"RXN-EX_thr__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_phe__L_e_REV-SPONT"	0.000229000000000	0.000000000000000
"RXN-EX_his__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_mg2_e_REV-SPONT"	0.000862792542472	0.000000000000000
"RXN-EX_o2_e_REV-SPONT"	0.869599095087012	0.000000000000000
"RXN-EX_na1_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_ala__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_ni2_e_REV-SPONT"	0.000000017194714	0.000000000000000
"RXN-EX_ser__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_trp__L_e_REV-SPONT"	0.000023000000000	0.000000000000000
"RXN-EX_val__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_pro__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_h2o_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_asp__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_nac_e_REV-SPONT"	0.000082327065899	0.000000000000000
"RXN-EX_gly_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_arg__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_thm_e_REV-SPONT"	0.000000038144594	0.000000000000000
"RXN-EX_fol_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_cl_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_k_e_REV-SPONT"	0.008186580426003	0.000000000000000
"RXN-EX_zn2_e_REV-SPONT"	0.000021540467616	0.000000000000000
"RXN-EX_chol_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_pnto__R_e_REV-SPONT"	0.000002576672352	0.000000000000000
"RXN-EX_ribflv_e_REV-SPONT"	0.000013589440633	0.000000000000000
"RXN-EX_so4_e_REV-SPONT"	0.000734864579705	0.000000000000000
"RXN-EX_pi_e_REV-SPONT"	0.010000000000000	0.000000000000000
"RXN-EX_ca2_e_REV-SPONT"	0.000017440133634	0.000000000000000
"RXN-EX_cu2_e_REV-SPONT"	0.000002508371346	0.000000000000000
"RXN-EX_h_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_glu__L_e_REV-SPONT"	0.000000000000000	0.000000000000000
"RXN-EX_cobalt2_e_REV-SPONT"	0.000000012374036	0.000000000000000
"RXN-EX_met__L_e_REV-SPONT"	0.000132000000000	0.000000000000000
"RXN-EX_inost_e_REV-SPONT"	0.000049015251109	0.000000000000000
"RXN-EX_lys__L_e_REV-SPONT"	0.000216000000000	0.000000000000000
"RXN-EX_fe2_e_REV-SPONT"	0.000013533610818	0.000000000000000
"RXN-EX_mn2_e_REV-SPONT"	0.000002675225994	0.000000000000000
