rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036799999999999,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871799999999116,0.0,1000.0
DHQTi_c,1.4901061593362828,0.0,1000.0
DHQS_c,1.490106159336283,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,1.4901061593362828,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,1.490106159336283,0.0,1000.0
ADCS_c,1.3484719683513372e-15,0.0,1000.0
PRFGS_c,0.009687099999989375,0.0,1000.0
MTHFR3_c,0.018010599999999995,0.0,1000.0
PGL_c,0.7905095006502542,0.0,1000.0
KARA1i_m,0.05815799999999999,0.0,1000.0
ACLS_m,0.058157999999999994,0.0,1000.0
ACACT40ir_m,0.024764099999999983,-1000.0,1000.0
ACCOAC_c,4.514312767071244,0.0,1000.0
ACS_c,4.537258267071244,0.0,1000.0
ACGK_m,0.030633400000000012,0.0,1000.0
ACOTAi_m,0.03063340000000001,0.0,1000.0
STATg181_rm,0.00022580000000000004,-1000.0,1000.0
STATg161_rm,0.0006154999999999999,-1000.0,1000.0
STATf161_rm,-4.3502143197319704e-08,-1000.0,1000.0
ADNK1_c,0.0136886,0.0,1000.0
AHCi_c,0.013688599999999999,0.0,1000.0
ADMDC_c,-2.912280311461945e-18,0.0,1000.0
ADK1_c,6.5050927807515935,0.0,1000.0
ADK1_m,-2.7550484022955793e-15,0.0,1000.0
ADSL2i_c,0.009687099999989375,0.0,1000.0
ADSL1r_c,0.012534199999989348,-1000.0,1000.0
ADSS_c,0.012534199999989348,0.0,1000.0
