rxn,flux,lb,ub
13GS_c,0.09682060000000002,0.0,1000.0
16GS_c,0.0254791,0.0,1000.0
PRMICI_c,0.007317100000000001,0.0,1000.0
ACHBS_m,0.02233060000000001,0.0,1000.0
AATA_c,0.024908600000000006,-1000.0,1000.0
IPPMIb_c,-0.030367999999999996,-1000.0,1000.0
IPPS_m,0.03036800000000258,0.0,1000.0
HCITR_m,0.024908600000000003,-1000.0,1000.0
OMCDC_c,0.030368,0.0,1000.0
BPNT_c,0.004871800000000029,0.0,1000.0
DHQTi_c,2.579452338109797,0.0,1000.0
DHQS_c,2.5794523381097973,0.0,1000.0
3DSPHR_r,0.0004754000000000003,0.0,1000.0
DDPA_c,2.5794523381097973,0.0,1000.0
HACD140i_x,-2.6714064197409313e-16,0.0,1000.0
IPPMIa_c,-0.030367999999999996,-1000.0,1000.0
IPMD_c,0.030367999999999992,0.0,1000.0
PSCIT_c,2.579452338109798,0.0,1000.0
PRFGS_c,0.0096870999999998,0.0,1000.0
MTHFR3_c,0.018010599999999995,0.0,1000.0
PGL_c,3.0838510734876685,0.0,1000.0
KARA1i_m,0.05815800000000001,0.0,1000.0
ACLS_m,0.058158000000000015,0.0,1000.0
ACACT160i_x,-2.671406419740932e-16,0.0,1000.0
ACACT40ir_m,0.024764099999999973,-1000.0,1000.0
ACACT140i_x,-2.6714064197409323e-16,0.0,1000.0
ACACT100i_x,7.067500333877262e-17,0.0,1000.0
ACACT120i_x,6.632653130770558e-17,0.0,1000.0
ACCOAC_c,0.11644548906239993,0.0,1000.0
ACS_c,0.13939098906239905,0.0,1000.0
ACGK_m,0.030633400000000012,0.0,1000.0
ACOTAi_m,0.03063340000000001,0.0,1000.0
ACOAO100_x,6.632653130770558e-17,0.0,1000.0
ACOAO120_x,-2.671406419740932e-16,0.0,1000.0
ACOAO160_x,-2.6714064197409313e-16,0.0,1000.0
ACOAO180_x,2.3270694415492038e-17,0.0,1000.0
ACOAO140_x,-2.671406419740932e-16,0.0,1000.0
STATg181_rm,0.00022574343334920896,-1000.0,1000.0
